timestamp,mode,result,steps,target_color,cup_init_x,cup_init_y,cup_init_z
2026-02-09 12:22:14,arm,success,239,red,0.202685,0.146351,0.845000
2026-02-09 12:23:14,arm,fail,573,unknown,nan,nan,nan
2026-02-09 12:23:41,arm,success,242,red,0.203609,0.145063,0.845000
2026-02-09 12:24:41,arm,fail,569,unknown,nan,nan,nan
2026-02-09 12:25:02,arm,success,187,blue,0.345845,0.053771,0.845000
2026-02-09 12:26:02,arm,fail,575,unknown,nan,nan,nan
2026-02-09 12:27:02,arm,fail,573,unknown,nan,nan,nan
2026-02-09 12:28:03,arm,fail,546,unknown,nan,nan,nan
2026-02-09 12:28:24,arm,success,200,red,0.233796,0.088541,0.845000
2026-02-09 12:29:24,arm,fail,565,unknown,nan,nan,nan
2026-02-09 12:30:25,arm,fail,566,unknown,nan,nan,nan
2026-02-09 12:31:25,arm,fail,576,unknown,nan,nan,nan
2026-02-09 12:31:53,arm,success,247,red,0.181444,0.171983,0.845000
2026-02-09 12:32:53,arm,fail,571,unknown,nan,nan,nan
2026-02-09 12:33:19,arm,success,233,red,0.192033,0.160072,0.845000
2026-02-09 12:33:41,arm,success,199,blue,0.297796,0.183895,0.845000
2026-02-09 12:34:06,arm,success,223,red,0.191203,0.161064,0.845000
2026-02-09 12:35:06,arm,fail,576,unknown,nan,nan,nan
2026-02-09 12:36:06,arm,fail,578,unknown,nan,nan,nan
2026-02-09 12:36:32,arm,success,233,red,0.200420,0.149438,0.845000
2026-02-09 12:37:32,arm,fail,576,unknown,nan,nan,nan
2026-02-09 12:38:32,arm,fail,570,unknown,nan,nan,nan
2026-02-09 12:39:32,arm,fail,571,unknown,nan,nan,nan
2026-02-09 12:40:32,arm,fail,566,unknown,nan,nan,nan
2026-02-09 12:40:56,arm,success,216,red,0.204915,0.143212,0.845000
2026-02-09 12:41:17,arm,success,188,blue,0.294306,0.189431,0.845000
2026-02-09 12:42:17,arm,fail,573,unknown,nan,nan,nan
2026-02-09 12:43:18,arm,fail,581,unknown,nan,nan,nan
2026-02-09 12:43:36,arm,success,173,red,0.242301,0.061563,0.845000
2026-02-09 12:44:01,arm,success,227,red,0.187609,0.165236,0.845000
2026-02-09 12:45:02,arm,fail,586,unknown,nan,nan,nan
2026-02-09 12:46:02,arm,fail,572,unknown,nan,nan,nan
2026-02-09 12:47:02,arm,fail,576,unknown,nan,nan,nan
2026-02-09 12:48:02,arm,fail,576,unknown,nan,nan,nan
2026-02-09 12:49:03,arm,fail,571,unknown,nan,nan,nan
2026-02-09 12:50:03,arm,fail,576,unknown,nan,nan,nan
2026-02-09 12:50:29,arm,success,237,red,0.213427,0.130188,0.845000
2026-02-09 12:51:30,arm,fail,576,unknown,nan,nan,nan
2026-02-09 12:52:30,arm,fail,571,unknown,nan,nan,nan
2026-02-09 12:53:30,arm,fail,571,unknown,nan,nan,nan
2026-02-09 12:53:54,arm,success,206,red,0.185181,0.167952,0.845000
2026-02-09 12:54:16,arm,success,201,red,0.197662,0.153068,0.845000
2026-02-09 12:55:16,arm,fail,571,unknown,nan,nan,nan
2026-02-09 12:56:17,arm,fail,576,unknown,nan,nan,nan
2026-02-09 12:57:17,arm,fail,571,unknown,nan,nan,nan
2026-02-09 12:57:39,arm,success,203,red,0.244680,0.051300,0.845000
2026-02-09 12:58:40,arm,fail,576,unknown,nan,nan,nan
2026-02-09 12:59:40,arm,fail,576,unknown,nan,nan,nan
2026-02-09 13:00:34,arm,success,503,red,0.241498,0.064642,0.845000
2026-02-09 13:00:59,arm,success,223,red,0.189083,0.163547,0.845000
2026-02-09 13:01:24,arm,success,229,blue,0.299639,0.180877,0.845000
2026-02-09 13:02:25,arm,fail,581,unknown,nan,nan,nan
2026-02-09 13:03:25,arm,fail,576,unknown,nan,nan,nan
2026-02-09 13:03:45,arm,success,184,red,0.236783,0.080211,0.845000
2026-02-09 13:04:11,arm,success,227,red,0.193342,0.158490,0.845000
2026-02-09 13:04:33,arm,success,200,red,0.198830,0.151548,0.845000
2026-02-09 13:05:33,arm,fail,575,unknown,nan,nan,nan
2026-02-09 13:06:00,arm,success,238,blue,0.307511,0.167144,0.845000
2026-02-09 13:06:19,arm,success,175,blue,0.296129,0.186569,0.845000
2026-02-09 13:06:41,arm,success,210,blue,0.306524,0.168946,0.845000
2026-02-09 13:07:04,arm,success,202,blue,0.337816,0.091544,0.845000
2026-02-09 13:08:04,arm,fail,581,unknown,nan,nan,nan
2026-02-09 13:09:04,arm,fail,562,unknown,nan,nan,nan
2026-02-09 13:10:04,arm,fail,576,unknown,nan,nan,nan
2026-02-09 13:11:05,arm,fail,571,unknown,nan,nan,nan
2026-02-09 13:12:05,arm,fail,576,unknown,nan,nan,nan
2026-02-09 13:13:05,arm,fail,573,unknown,nan,nan,nan
2026-02-09 13:14:05,arm,fail,566,unknown,nan,nan,nan
2026-02-09 13:14:30,arm,success,220,red,0.204599,0.143664,0.845000
2026-02-09 13:15:30,arm,fail,581,unknown,nan,nan,nan
2026-02-09 13:16:30,arm,fail,579,unknown,nan,nan,nan
2026-02-09 13:17:30,arm,fail,571,unknown,nan,nan,nan
2026-02-09 14:05:20,arm,fail,580,unknown,nan,nan,nan
2026-02-09 14:05:37,arm,success,154,red,0.249258,0.019252,0.845000
